Kids Arcade,Nur.,5,Bilaspur house near panchmukhi mandir boring cannal road,800001,English,Unecognised,Private unaided,Higher Cost
B.D Public School,1,12,Buddha Coloney Patna,800001,English,Unecognised,Private unaided,Higher Cost
St. Domnic Savio Acadmey,Nur.,7,Boring cannal road annad puri patna,800001,English,Unecognised,Private unaided,Affordable
Sunrise Academy,1,5,Bans Khoti Digha Patna,800011,Hindi,Unecognised,Private unaided,Low Cost
J.N.Public School,Nur.,8,Rajeev Nagar Road No.-23 Patna,800024,English,Unecognised,Private unaided,Low Cost
Rashmi Niketan,Nur.,5,Railway Coloney Digha Bagicha Patna,800011,English,Unecognised,Private unaided,Low Cost
Little Lambs School,Nur.,8,Rajeev Nagar Road N o.- 8 Patna,800024,English,Unecognised,Private unaided,Higher Cost
Ideal Public School,Nur.,8,rajeev nagar Road No.- 8,800024,English and Hindi,Unecognised,Private unaided,Low Cost
A.V.N. School ,1,10,"Rajeev Nagar Road No.- 04, Patna",800024,English,Unecognised,Private unaided,Affordable
Buddha International Public School,1,10,Rajeev Nagar Road No.- 3 Patna,800024,English,Unecognised,Private unaided,Higher Cost
Mother Pride School,Nur.,3,Sandalpur Road Kumhrar Patna,800006,English,Unecognised,Private unaided,Low Cost
Bapu High School,Nur.,10,"dargaha road, Sanichara Mod Sultanganj Patna",800006,English,Unecognised,Private unaided,Low Cost
Green Carpet English School,Nur.,7,Pitamber Mandir Coloney Gulzarbagh Patna,800007,English and Hindi,Unecognised,Private unaided,Low Cost
Priyanka Gyan Niketan,1,5,Gud ki Mandi Shershah Road Patna,800007,English and Hindi,Unecognised,Private unaided,Low Cost
Gyan Sarovar Academy,Nur.,7,Patel Coloney Sandalpur Road Mahendru Patna,800006,English,Unecognised,Private unaided,Low Cost
Gyanshali High School,Nur.,10,Alamganj Patna City,800007,English and Hindi,Recognised,Private aided,Higher Cost
Crystal Academey,Nur.,6,Alamganj Kabootri Gali Ashok Rajpath Patna,800007,English,Unecognised,Private unaided,Low Cost
P.J.H.Public School,Nur.,10,Gulzarbagh Patna,800007,English and Hindi,Unecognised,Private unaided,Affordable
Gyan Sangam High School,Nur.,7,Mussalahapur Hatt,800006,English,Unecognised,Private unaided,Low Cost
Savarkar Sishu Mandir,Nur.,8,Balu Ghat Mahendru Patna,800006,English,Unecognised,Private unaided,Low Cost
N.S. Academey,Nur.,10,Shahganj Patna,800006,English and Hindi,Unecognised,Private unaided,Low Cost
ST. Maneri's Academey,1,9,Shams Manzil Block-B(I) Shahganj Mahendru,800006,English,Unecognised,Private unaided,Low Cost
Modern Welfare Academey,Nur.,7,Mohammadpur Shahganj Patna,800006,English,Unecognised,Private unaided,Affordable
Pallavi Garden School,1,5,Mohammadpur Shahganj Patna,800006,English and Hindi,Unecognised,Private unaided,Low Cost
S.D.Junior School,Nur.,5,Nooranibagh Coloney Alamganj Patna,800007,English,Unecognised,Private unaided,Low Cost
G.M.J. Convent High School,6,10,Nooranibagh Coloney Alamganj Patna,800007,English,Unecognised,Private unaided,Low Cost
M.G.Public School,Nur.,7,Kacchi Talab Saristabad Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
Rammohan Roy Junior School,Nur.,10,Noorani Bagh 5- A Ganga Bridge Area Ashok Rajpath Patna,800007,English and Hindi,Unecognised,Private unaided,Low Cost
St. Peter Academey,Nur.,5,B.N.R.Road Ashok Rajpath Patna,800006,English,Unecognised,Private unaided,Low Cost
ST. Teresa Convent,Nur.,7,Chowdhary Tola Gulzarbagh Patna,800007,English,Unecognised,Private unaided,Affordable
Raj Sixan Shansthan,1,8,Ganga Bihar Coloney Choudharey Tola Mahendru Patna,800006,English and Hindi,Unecognised,Private unaided,Low Cost
